,Pclass,Sex,Age,n_family,Fare,Embarked,y
0,3,male,22.0,1,7.25,S,no
1,1,female,38.0,1,71.2833,C,yes
2,3,female,26.0,0,7.925,S,yes
3,1,female,35.0,1,53.1,S,yes
4,3,male,35.0,0,8.05,S,no
6,1,male,54.0,0,51.8625,S,no
7,3,male,2.0,4,21.075,S,no
8,3,female,27.0,2,11.1333,S,yes
9,2,female,14.0,1,30.0708,C,yes
10,3,female,4.0,2,16.7,S,yes
11,1,female,58.0,0,26.55,S,yes
12,3,male,20.0,0,8.05,S,no
13,3,male,39.0,6,31.275,S,no
14,3,female,14.0,0,7.8542,S,no
15,2,female,55.0,0,16.0,S,yes
16,3,male,2.0,5,29.125,Q,no
18,3,female,31.0,1,18.0,S,no
20,2,male,35.0,0,26.0,S,no
21,2,male,34.0,0,13.0,S,yes
22,3,female,15.0,0,8.0292,Q,yes
23,1,male,28.0,0,35.5,S,yes
24,3,female,8.0,4,21.075,S,no
25,3,female,38.0,6,31.3875,S,yes
27,1,male,19.0,5,263.0,S,no
30,1,male,40.0,0,27.7208,C,no
33,2,male,66.0,0,10.5,S,no
34,1,male,28.0,1,82.1708,C,no
35,1,male,42.0,1,52.0,S,no
37,3,male,21.0,0,8.05,S,no
38,3,female,18.0,2,18.0,S,no
39,3,female,14.0,1,11.2417,C,yes
40,3,female,40.0,1,9.475,S,no
41,2,female,27.0,1,21.0,S,no
43,2,female,3.0,3,41.5792,C,yes
44,3,female,19.0,0,7.8792,Q,yes
49,3,female,18.0,1,17.8,S,no
50,3,male,7.0,5,39.6875,S,no
51,3,male,21.0,0,7.8,S,no
52,1,female,49.0,1,76.7292,C,yes
53,2,female,29.0,1,26.0,S,yes
54,1,male,65.0,1,61.9792,C,no
56,2,female,21.0,0,10.5,S,yes
57,3,male,28.5,0,7.2292,C,no
58,2,female,5.0,3,27.75,S,yes
59,3,male,11.0,7,46.9,S,no
60,3,male,22.0,0,7.2292,C,no
62,1,male,45.0,1,83.475,S,no
63,3,male,4.0,5,27.9,S,no
66,2,female,29.0,0,10.5,S,yes
67,3,male,19.0,0,8.1583,S,no
68,3,female,17.0,6,7.925,S,yes
69,3,male,26.0,2,8.6625,S,no
70,2,male,32.0,0,10.5,S,no
71,3,female,16.0,7,46.9,S,no
72,2,male,21.0,0,73.5,S,no
73,3,male,26.0,1,14.4542,C,no
74,3,male,32.0,0,56.4958,S,yes
75,3,male,25.0,0,7.65,S,no
78,2,male,0.83,2,29.0,S,yes
79,3,female,30.0,0,12.475,S,yes
80,3,male,22.0,0,9.0,S,no
81,3,male,29.0,0,9.5,S,yes
83,1,male,28.0,0,47.1,S,no
84,2,female,17.0,0,10.5,S,yes
85,3,female,33.0,3,15.85,S,yes
86,3,male,16.0,4,34.375,S,no
88,1,female,23.0,5,263.0,S,yes
89,3,male,24.0,0,8.05,S,no
90,3,male,29.0,0,8.05,S,no
91,3,male,20.0,0,7.8542,S,no
92,1,male,46.0,1,61.175,S,no
93,3,male,26.0,3,20.575,S,no
94,3,male,59.0,0,7.25,S,no
96,1,male,71.0,0,34.6542,C,no
97,1,male,23.0,1,63.3583,C,yes
98,2,female,34.0,1,23.0,S,yes
99,2,male,34.0,1,26.0,S,no
100,3,female,28.0,0,7.8958,S,no
102,1,male,21.0,1,77.2875,S,no
103,3,male,33.0,0,8.6542,S,no
104,3,male,37.0,2,7.925,S,no
105,3,male,28.0,0,7.8958,S,no
106,3,female,21.0,0,7.65,S,yes
108,3,male,38.0,0,7.8958,S,no
110,1,male,47.0,0,52.0,S,no
111,3,female,14.5,1,14.4542,C,no
112,3,male,22.0,0,8.05,S,no
113,3,female,20.0,1,9.825,S,no
114,3,female,17.0,0,14.4583,C,no
115,3,male,21.0,0,7.925,S,no
116,3,male,70.5,0,7.75,Q,no
117,2,male,29.0,1,21.0,S,no
118,1,male,24.0,1,247.5208,C,no
119,3,female,2.0,6,31.275,S,no
120,2,male,21.0,2,73.5,S,no
122,2,male,32.5,1,30.0708,C,no
123,2,female,32.5,0,13.0,S,yes
124,1,male,54.0,1,77.2875,S,no
125,3,male,12.0,1,11.2417,C,yes
127,3,male,24.0,0,7.1417,S,yes
129,3,male,45.0,0,6.975,S,no
130,3,male,33.0,0,7.8958,C,no
131,3,male,20.0,0,7.05,S,no
132,3,female,47.0,1,14.5,S,no
133,2,female,29.0,1,26.0,S,yes
134,2,male,25.0,0,13.0,S,no
135,2,male,23.0,0,15.0458,C,no
136,1,female,19.0,2,26.2833,S,yes
137,1,male,37.0,1,53.1,S,no
138,3,male,16.0,0,9.2167,S,no
139,1,male,24.0,0,79.2,C,no
141,3,female,22.0,0,7.75,S,yes
142,3,female,24.0,1,15.85,S,yes
143,3,male,19.0,0,6.75,Q,no
144,2,male,18.0,0,11.5,S,no
145,2,male,19.0,2,36.75,S,no
146,3,male,27.0,0,7.7958,S,yes
147,3,female,9.0,4,34.375,S,no
148,2,male,36.5,2,26.0,S,no
149,2,male,42.0,0,13.0,S,no
150,2,male,51.0,0,12.525,S,no
151,1,female,22.0,1,66.6,S,yes
152,3,male,55.5,0,8.05,S,no
153,3,male,40.5,2,14.5,S,no
155,1,male,51.0,1,61.3792,C,no
156,3,female,16.0,0,7.7333,Q,yes
157,3,male,30.0,0,8.05,S,no
160,3,male,44.0,1,16.1,S,no
161,2,female,40.0,0,15.75,S,yes
162,3,male,26.0,0,7.775,S,no
163,3,male,17.0,0,8.6625,S,no
164,3,male,1.0,5,39.6875,S,no
165,3,male,9.0,2,20.525,S,yes
167,3,female,45.0,5,27.9,S,no
169,3,male,28.0,0,56.4958,S,no
170,1,male,61.0,0,33.5,S,no
171,3,male,4.0,5,29.125,Q,no
172,3,female,1.0,2,11.1333,S,yes
173,3,male,21.0,0,7.925,S,no
174,1,male,56.0,0,30.6958,C,no
175,3,male,18.0,2,7.8542,S,no
177,1,female,50.0,0,28.7125,C,no
178,2,male,30.0,0,13.0,S,no
179,3,male,36.0,0,0.0,S,no
182,3,male,9.0,6,31.3875,S,no
183,2,male,1.0,3,39.0,S,yes
184,3,female,4.0,2,22.025,S,yes
187,1,male,45.0,0,26.55,S,yes
188,3,male,40.0,2,15.5,Q,no
189,3,male,36.0,0,7.8958,S,no
190,2,female,32.0,0,13.0,S,yes
191,2,male,19.0,0,13.0,S,no
192,3,female,19.0,1,7.8542,S,yes
193,2,male,3.0,2,26.0,S,yes
194,1,female,44.0,0,27.7208,C,yes
195,1,female,58.0,0,146.5208,C,yes
197,3,male,42.0,1,8.4042,S,no
199,2,female,24.0,0,13.0,S,no
200,3,male,28.0,0,9.5,S,no
202,3,male,34.0,0,6.4958,S,no
203,3,male,45.5,0,7.225,C,no
204,3,male,18.0,0,8.05,S,yes
205,3,female,2.0,1,10.4625,S,no
206,3,male,32.0,1,15.85,S,no
207,3,male,26.0,0,18.7875,C,yes
208,3,female,16.0,0,7.75,Q,yes
209,1,male,40.0,0,31.0,C,yes
210,3,male,24.0,0,7.05,S,no
211,2,female,35.0,0,21.0,S,yes
212,3,male,22.0,0,7.25,S,no
213,2,male,30.0,0,13.0,S,no
215,1,female,31.0,1,113.275,C,yes
216,3,female,27.0,0,7.925,S,yes
217,2,male,42.0,1,27.0,S,no
218,1,female,32.0,0,76.2917,C,yes
219,2,male,30.0,0,10.5,S,no
220,3,male,16.0,0,8.05,S,yes
221,2,male,27.0,0,13.0,S,no
222,3,male,51.0,0,8.05,S,no
224,1,male,38.0,1,90.0,S,yes
225,3,male,22.0,0,9.35,S,no
226,2,male,19.0,0,10.5,S,yes
227,3,male,20.5,0,7.25,S,no
228,2,male,18.0,0,13.0,S,no
230,1,female,35.0,1,83.475,S,yes
231,3,male,29.0,0,7.775,S,no
232,2,male,59.0,0,13.5,S,no
233,3,female,5.0,6,31.3875,S,yes
234,2,male,24.0,0,10.5,S,no
236,2,male,44.0,1,26.0,S,no
237,2,female,8.0,2,26.25,S,yes
238,2,male,19.0,0,10.5,S,no
239,2,male,33.0,0,12.275,S,no
242,2,male,29.0,0,10.5,S,no
243,3,male,22.0,0,7.125,S,no
244,3,male,30.0,0,7.225,C,no
245,1,male,44.0,2,90.0,Q,no
246,3,female,25.0,0,7.775,S,no
247,2,female,24.0,2,14.5,S,yes
248,1,male,37.0,2,52.5542,S,yes
249,2,male,54.0,1,26.0,S,no
251,3,female,29.0,2,10.4625,S,no
252,1,male,62.0,0,26.55,S,no
253,3,male,30.0,1,16.1,S,no
254,3,female,41.0,2,20.2125,S,no
255,3,female,29.0,2,15.2458,C,yes
257,1,female,30.0,0,86.5,S,yes
258,1,female,35.0,0,512.3292,C,yes
259,2,female,50.0,1,26.0,S,yes
261,3,male,3.0,6,31.3875,S,yes
262,1,male,52.0,2,79.65,S,no
263,1,male,40.0,0,0.0,S,no
265,2,male,36.0,0,10.5,S,no
266,3,male,16.0,5,39.6875,S,no
267,3,male,25.0,1,7.775,S,yes
268,1,female,58.0,1,153.4625,S,yes
269,1,female,35.0,0,135.6333,S,yes
271,3,male,25.0,0,0.0,S,yes
272,2,female,41.0,1,19.5,S,yes
273,1,male,37.0,1,29.7,C,no
275,1,female,63.0,1,77.9583,S,yes
276,3,female,45.0,0,7.75,S,no
278,3,male,7.0,5,29.125,Q,no
279,3,female,35.0,2,20.25,S,yes
280,3,male,65.0,0,7.75,Q,no
281,3,male,28.0,0,7.8542,S,no
282,3,male,16.0,0,9.5,S,no
283,3,male,19.0,0,8.05,S,yes
285,3,male,33.0,0,8.6625,C,no
286,3,male,30.0,0,9.5,S,yes
287,3,male,22.0,0,7.8958,S,no
