,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,11.44263991524434,11.44263991524434,11.44263991524434,11.44263991524434,11.44263991524434
0.1,11.598908926908726,11.47499647235736,14.729651368497723,14.31225199370555,11.496629980650875
0.2,12.64539997655699,12.10552778077171,18.952404526483228,15.443866418849337,12.16638603881516
0.3,13.245347352345606,12.786984347852766,24.842741733080263,19.705712427865393,12.85247830244892
0.4,17.153255204944514,14.920350339767811,29.589634524821104,20.383552746846288,14.387041970570952
0.5,21.22650638638524,15.397884640402397,45.65405997237904,21.293633160693712,15.40151753443324
0.6,22.88337428690829,19.379440634473987,52.04824351436794,21.468241267130715,19.379440634473987
0.7,28.53527029079151,22.287559676724516,57.96460849044098,24.394183910754574,22.28636626643438
0.8,44.48862412453251,35.133264661087296,60.78120438469371,28.409569154809358,33.97591398500575
0.9,60.96513563440649,45.36199586150576,60.966166552846175,60.96513563440649,45.36199586150576
