,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,24988488.259007856,24988488.259007856,24988488.259007856,24988488.259007856,24988488.259007856
0.1,25043897.697833326,24989565.88534078,25038658.661395185,25028603.58054459,24988439.190737117
0.2,25102885.327342093,24989825.08471561,25121341.144773133,25097770.21815104,24988999.733694684
0.3,25114161.44135747,25108127.49475121,25161571.716233455,25123884.17863794,25105329.696605522
0.4,25198813.44507385,25108762.882886592,25170538.840423513,25122046.81628379,25105171.81664488
0.5,25204709.722074673,25105381.321693134,25181011.160175126,25121521.617206134,25094600.807739753
0.6,25215589.706573468,25122171.057695597,25202729.184926882,25154695.812230892,25120703.05604062
0.7,25224733.903294686,25223559.228558242,25228704.353415634,25223445.88147663,25222873.454719245
0.8,25228827.52023858,25222569.162946794,25228767.583831828,25222781.201599047,25222530.204318456
0.9,25231022.348671693,25227351.827202987,25231043.359662727,25227447.340144236,25227529.982632924
