,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,74.84955083016166,74.84955083016166,74.84955083016166,74.84955083016166,74.84955083016166
0.1,103.28015294313413,73.04611818674968,131.57930532057955,117.42091122041343,74.17608182075642
0.2,117.5209974529927,82.39061472886576,158.1895814971163,139.85797423856414,80.9269280713694
0.3,128.29806531863034,78.08141434614689,196.04821637305747,150.9203648117963,77.29654637818265
0.4,141.8341577996888,103.67316498889896,217.28793233672067,155.70896699171382,103.27330531548809
0.5,161.35371797458276,105.5695284980568,232.96450778627107,163.23483596552995,104.91384959613416
0.6,176.20916365231037,132.8964011817931,251.86679224878264,168.08024471690302,132.8964011817931
0.7,193.70028993319522,146.7095170865667,260.49770778658666,175.149698282718,146.7095170865667
0.8,208.77993345390894,178.78223199948184,265.627949187891,204.92540549682388,181.54255023835378
0.9,242.00956817064014,228.2629091252755,273.16798957798454,230.28175594722723,224.2970939604872
