,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,327.91094957404977,327.91094957404977,327.91094957404977,327.91094957404977,327.91094957404977
0.1,438.3356075908239,327.91094957404977,387.60194148741454,358.4591032321554,358.4591032321554
0.2,450.33962253488227,327.91094957404977,463.276101566115,513.7271362422143,513.7271362422143
0.3,438.31243018486924,327.91094957404977,458.28076279459964,451.2313459195186,446.48149863222204
0.4,454.15697194965935,432.1419543621036,473.9068009038984,456.70333435207334,457.64240266724255
0.5,454.8969510406079,437.1847239299221,473.9104825051181,470.52662251678896,463.0686087928264
0.6,450.36498401768665,450.4342473674982,474.05223122691535,448.944978822352,448.944978822352
0.7,457.8900133089868,458.96961313649626,477.44526616905677,450.8692998199557,452.01964429924504
0.8,464.01328892823915,449.82267146620836,480.0655763497181,454.00558507886484,454.7839728971743
0.9,473.0308859793659,464.7002550341411,480.3687387901008,463.08181515742234,463.08181515742234
