,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,11.44263991524434,11.44263991524434,11.44263991524434,11.44263991524434,11.44263991524434
0.1,13.9503623522452,15.831107724586234,14.059341468993292,12.692474005867634,12.574557067240342
0.2,17.067441831673516,19.07051019419604,17.00289193095205,12.660483775316857,13.533793259202094
0.3,20.788932512805772,22.069459368431083,19.767858774769152,16.882960076133212,15.367430502782874
0.4,25.61858557378731,25.630974100854726,23.81332303762017,18.31332765083985,17.276318160018896
0.5,29.735236075479452,30.41103996599268,29.904410332238584,22.268577441826086,23.205621449567825
0.6,31.62714792554709,32.563554594259905,36.83334681275447,26.374510480661673,26.56674261728002
0.7,36.95824678225315,38.32854500200205,44.307617988350444,31.737187796503534,31.66990673470711
0.8,47.502711592165426,43.264735969085116,52.5801006172164,40.68152318352202,40.68152318352202
0.9,60.96513563440649,57.879018312082316,58.60231278523443,60.96513563440649,57.879018312082316
