,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,13.729348027832335,13.729348027832335,13.729348027832335,13.729348027832335,13.729348027832335
0.1,22.73073469251874,26.159592985702623,18.3774960813783,16.397136938568195,17.336031892642836
0.2,22.98797348982702,24.844524722568305,18.554138455496204,17.74449328958092,15.788149550235309
0.3,33.32716823926853,34.1154588172507,30.389332843047683,20.683535708946557,22.964868323459548
0.4,45.30212081020724,46.15062871888314,31.76738857080569,31.012239559777647,26.473865336864908
0.5,50.07949985157333,45.00661824280117,38.96212074542132,33.133608210876126,29.493962987970885
0.6,56.70382416166324,58.78176150375962,45.74001650649119,40.621608470253626,34.75347303031593
0.7,69.73248631023601,54.42996912869774,54.476148727968216,69.39824480682833,43.9307819014853
0.8,70.10550222685607,65.86639435852216,64.39300133903292,70.10550222685607,66.32049684247225
0.9,70.10550222685607,70.10550222685607,67.0557028948181,70.10550222685607,70.10550222685607
