,Majority,MIA,Weighted,Trinary
0.0,10.517528699364279,10.517528699364279,10.517528699364279,10.517528699364279
0.1,13.903856896867174,14.90212041153047,13.523303354689931,13.551539240900539
0.2,17.845555630757126,17.604890735807516,15.145295804288532,14.091610669846911
0.3,21.86922605653249,24.02671076313639,20.265539721825593,17.21975406085861
0.4,22.724234654144208,25.573839854146744,22.19834828656519,19.469182153968234
0.5,31.65000616237946,33.398911162497086,29.699530047392336,23.04642915045088
0.6,34.26216142963959,31.598389057556616,34.82124486140752,24.356040169226784
0.7,36.723060004083344,38.65253369758293,43.342799122776654,29.234224654988363
0.8,42.835148281332806,42.51411085182593,50.87990541480398,38.36245869984752
0.9,61.05630482319023,57.49736057893964,58.60924036014464,61.05630482319023
