,Majority,MIA,Weighted,Trinary
0.0,503.13401629058654,503.13401629058654,503.13401629058654,503.13401629058654
0.1,520.3118729859372,502.97936593383383,491.0537706532747,486.0498924754352
0.2,541.8066996261117,540.8303276252169,503.578279544765,508.0683375764649
0.3,538.5690909731197,551.7502508240448,523.4696682379931,502.56548223716374
0.4,536.1923631244784,564.1678099314067,535.5257500819661,512.956572877039
0.5,549.6032134970243,563.6442187498785,552.8202998031078,593.8279675326414
0.6,554.5043374872562,567.0639305392086,556.979991829849,717.146709292613
0.7,569.6682856072346,572.0774315552322,564.0518568314974,544.0809477348008
0.8,567.2213849928971,566.0910979401674,569.4219709291361,953.3154012783705
0.9,573.0523880431746,578.0436336593893,571.0410426220832,695.6515457201205
