,Majority,MIA,Weighted,Trinary
0.0,59.11827279951428,59.11827279951428,59.11827279951428,59.11827279951428
0.1,94.44162830622874,95.97685430098745,81.38981851964823,84.79423161313369
0.2,118.03856417696984,114.52563785876984,104.32297435482356,110.28690847171993
0.3,129.48450175354552,129.35108536968588,127.23330670822345,138.68473967985688
0.4,165.3265619721393,175.39298174294044,160.83167847644148,161.9911885126587
0.5,180.19632116839702,196.55852318842062,189.2056681658727,181.7223911364867
0.6,213.0803234118089,215.54712359534273,214.87816821524967,198.69872227294204
0.7,225.75856209271808,226.56014947496092,236.93424034170948,219.28922016269564
0.8,243.66118995934036,234.78803572960828,258.5476821247037,238.2330227318754
0.9,261.51594921009104,254.2469942199562,273.3937364531025,255.64715143735762
