,Majority,MIA,Weighted,Trinary
0.0,78.1823566756267,78.1823566756267,78.1823566756267,78.1823566756267
0.1,125.7928481206883,115.675018885648,103.04933546320267,75.69736323287432
0.2,129.4839324332985,126.31746512879475,117.66069579662341,72.9035265615146
0.3,140.993946879878,200.05833499365593,131.09248929708892,75.31797676905795
0.4,141.20693875000697,209.0198649293903,136.383809212749,150.43134713050202
0.5,145.27836251688365,214.84448899710662,146.72181591646066,155.389374179032
0.6,152.66753930777412,168.19517949674017,151.0040617678098,175.1914937576116
0.7,167.4905329817404,168.21493695840712,160.2833306264882,216.1062941166014
0.8,166.9418817632473,169.01727465467116,164.27495807589486,166.9418817632473
0.9,166.9418817632473,166.9418817632473,165.69235015367434,166.9418817632473
