,Majority,MIA,Weighted,Trinary
0.0,13.636177074863797,13.636177074863797,13.636177074863797,13.636177074863797
0.1,25.593254144570416,25.378891209374814,20.45982795927248,20.465240782778352
0.2,26.3805221776003,25.243461634185866,23.155632419818467,21.058318469200692
0.3,30.372593230116156,30.803420500176824,30.27257708950395,32.501165817704155
0.4,33.170634344923094,31.955061922938658,38.75764658389555,51.1662995755217
0.5,43.36862534264563,43.10691699318311,41.29369807002033,40.715763522681215
0.6,55.84541313505829,45.699991497394954,44.52627788504465,33.29308853220503
0.7,67.48887213154919,69.22700461607856,53.90306576921878,67.01290560172684
0.8,68.80027207422522,64.7485714479712,60.75854945421273,68.80027207422522
0.9,68.80027207422522,68.80027207422522,66.35297167259006,68.80027207422522
