,Majority,MIA,Weighted,Trinary
0.0,327.91094957404977,327.91094957404977,327.91094957404977,327.91094957404977
0.1,356.7043875136222,361.2076614541285,344.1559225937839,342.6964299610797
0.2,416.5061267784892,390.8734402848904,364.33480746252116,361.8101302591129
0.3,465.09634914618977,402.72574483602807,378.0096695518425,371.2024697552903
0.4,454.07492749126385,419.7236206636254,405.96048777068876,383.98654318399485
0.5,469.56388296199697,478.53656610472325,466.144804938889,403.92322796092196
0.6,468.4328481139289,474.10397255925204,469.25503164816644,425.9301089009246
0.7,472.1047039512672,473.57782718481536,471.4503576955874,437.97841174564394
0.8,479.61444626380705,479.58416971102196,477.16920007593114,459.668607061693
0.9,486.37910679936226,480.86399316751414,480.0859104703735,483.1767391018039
