,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,24988488.259007856,24988488.259007856,24988488.259007856,24988488.259007856,24988488.259007856
0.1,25022327.07474055,25021763.852385264,25019634.156205893,25015237.079901434,25016148.09227031
0.2,25054449.892441694,25054516.033791315,25051428.895118605,25039049.837546956,25040218.081746276
0.3,25083054.57639933,25082644.074280255,25086596.902225927,25069415.203880243,25071067.694428094
0.4,25108048.875117544,25107769.410774015,25121047.336896148,25097492.616873227,25097970.10047
0.5,25131564.612226766,25132313.464732192,25151441.952237032,25125604.577744685,25126234.13186089
0.6,25156132.6324504,25156779.47603729,25177548.571387958,25154823.425858427,25157243.141181942
0.7,25177226.68866336,25178388.626084175,25198297.83606278,25179373.658298332,25178455.570548296
0.8,25198484.100593083,25199155.04509762,25216293.10975816,25204739.21456741,25202899.37846819
0.9,25214639.5559989,25215167.109028783,25227310.718086734,25219568.193074454,25218596.58277509
