,Majority,MIA,Weighted,Trinary
0.0,20.69197449176442,20.69197449176442,20.69197449176442,20.69197449176442
0.1,24.47161379114798,23.560459275001158,24.01025638566148,23.27681434933057
0.2,31.826751356533624,29.693442467772115,32.39298491016096,26.944716973695876
0.3,34.95615782763682,35.61027387737114,36.15899883062211,32.5533196888146
0.4,39.97725834143318,40.954062912993734,42.9583199341511,35.622975697342596
0.5,45.196708519155216,46.96084196331676,48.86384416234775,43.978507982300926
0.6,54.749585003548766,55.8748921283439,58.9787494262122,48.25572070771551
0.7,60.63163402883804,60.998664554248954,67.32792907697059,53.64700298194149
0.8,66.96553099035444,67.4048283310727,75.73020289872127,60.17948531441421
0.9,84.58241290024218,83.1913261130207,82.53984063193107,75.6446502110753
