,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,74.84955083016166,74.84955083016166,74.84955083016166,74.84955083016166,74.84955083016166
0.1,107.84543368967044,113.65429132655373,98.46416212722684,102.60211676503297,104.83043414407734
0.2,130.86228660242602,133.76441301976357,121.44617758705252,116.48751872592068,118.94054553906444
0.3,164.6298698938019,163.95370184312202,151.25054286740195,142.36033911803165,147.7388436996279
0.4,183.8618700636989,195.5942992752082,174.38990872891628,155.69081374677856,158.18392142237343
0.5,206.74792996760314,212.13581739726018,200.25969933420296,185.46740725320416,190.45500425501433
0.6,219.3091611934028,223.12918332918434,227.9153091656243,206.842408037237,208.8256987852267
0.7,239.97896563469877,246.8623922408169,251.9001172554938,244.8377139564673,254.1586453940289
0.8,260.4515920985354,259.2808717343605,268.04728576995785,253.12276300710403,258.7338326093739
0.9,277.03344965551275,277.8946115683266,277.3300089110777,270.3941550043883,269.802220026691
