,Majority,MIA,Weighted,Trinary,TrinaryMia
0.0,327.91094957404977,327.91094957404977,327.91094957404977,327.91094957404977,327.91094957404977
0.1,356.7043875136222,361.2076614541285,344.1559225937839,342.6964299610797,346.8710393031055
0.2,416.5061267784892,390.8734402848904,364.3348074625212,361.8101302591129,355.2399518540785
0.3,465.09634914618977,402.72574483602807,378.0096695518425,371.2024697552903,366.5839415984129
0.4,454.0749274912639,419.7236206636254,405.9604877706888,383.98654318399485,376.12309626787606
0.5,469.56388296199697,478.5365661047233,466.144804938889,403.923227960922,399.3940730330445
0.6,468.4328481139289,474.103972559252,469.2550316481664,425.9301089009246,432.1714408900314
0.7,472.1047039512672,473.57782718481536,471.4503576955874,437.978411745644,440.1583931684125
0.8,479.6144462638071,479.584169711022,477.1692000759312,459.668607061693,470.5352987971272
0.9,486.3791067993623,480.8639931675141,480.0859104703735,483.1767391018039,471.58361778592536
