,y,left_weight,left_distance,right_weight,right_distance
0,balance,1.0,1.0,1.0,1.0
1,right,1.0,1.0,1.0,2.0
2,right,1.0,1.0,1.0,3.0
3,right,1.0,1.0,1.0,4.0
4,right,1.0,1.0,1.0,5.0
5,right,1.0,1.0,2.0,1.0
6,right,1.0,1.0,2.0,2.0
7,right,1.0,1.0,2.0,3.0
8,right,1.0,1.0,2.0,4.0
9,right,1.0,1.0,2.0,5.0
10,right,1.0,1.0,3.0,1.0
11,right,1.0,1.0,3.0,2.0
12,right,1.0,1.0,3.0,3.0
13,right,1.0,1.0,3.0,4.0
14,right,1.0,1.0,3.0,5.0
15,right,1.0,1.0,4.0,1.0
16,right,1.0,1.0,4.0,2.0
17,right,1.0,1.0,4.0,3.0
18,right,1.0,1.0,4.0,4.0
19,right,1.0,1.0,4.0,5.0
20,right,1.0,1.0,5.0,1.0
21,right,1.0,1.0,5.0,2.0
22,right,1.0,1.0,5.0,3.0
23,right,1.0,1.0,5.0,4.0
24,right,1.0,1.0,5.0,5.0
25,left,1.0,2.0,1.0,1.0
26,balance,1.0,2.0,1.0,2.0
27,right,1.0,2.0,1.0,3.0
28,right,1.0,2.0,1.0,4.0
29,right,1.0,2.0,1.0,5.0
30,balance,1.0,2.0,2.0,1.0
31,right,1.0,2.0,2.0,2.0
32,right,1.0,2.0,2.0,3.0
33,right,1.0,2.0,2.0,4.0
34,right,1.0,2.0,2.0,5.0
35,right,1.0,2.0,3.0,1.0
36,right,1.0,2.0,3.0,2.0
37,right,1.0,2.0,3.0,3.0
38,right,1.0,2.0,3.0,4.0
39,right,1.0,2.0,3.0,5.0
40,right,1.0,2.0,4.0,1.0
41,right,1.0,2.0,4.0,2.0
42,right,1.0,2.0,4.0,3.0
43,right,1.0,2.0,4.0,4.0
44,right,1.0,2.0,4.0,5.0
45,right,1.0,2.0,5.0,1.0
46,right,1.0,2.0,5.0,2.0
47,right,1.0,2.0,5.0,3.0
48,right,1.0,2.0,5.0,4.0
49,right,1.0,2.0,5.0,5.0
50,left,1.0,3.0,1.0,1.0
51,left,1.0,3.0,1.0,2.0
52,balance,1.0,3.0,1.0,3.0
53,right,1.0,3.0,1.0,4.0
54,right,1.0,3.0,1.0,5.0
55,left,1.0,3.0,2.0,1.0
56,right,1.0,3.0,2.0,2.0
57,right,1.0,3.0,2.0,3.0
58,right,1.0,3.0,2.0,4.0
59,right,1.0,3.0,2.0,5.0
60,balance,1.0,3.0,3.0,1.0
61,right,1.0,3.0,3.0,2.0
62,right,1.0,3.0,3.0,3.0
63,right,1.0,3.0,3.0,4.0
64,right,1.0,3.0,3.0,5.0
65,right,1.0,3.0,4.0,1.0
66,right,1.0,3.0,4.0,2.0
67,right,1.0,3.0,4.0,3.0
68,right,1.0,3.0,4.0,4.0
69,right,1.0,3.0,4.0,5.0
70,right,1.0,3.0,5.0,1.0
71,right,1.0,3.0,5.0,2.0
72,right,1.0,3.0,5.0,3.0
73,right,1.0,3.0,5.0,4.0
74,right,1.0,3.0,5.0,5.0
75,left,1.0,4.0,1.0,1.0
76,left,1.0,4.0,1.0,2.0
77,left,1.0,4.0,1.0,3.0
78,balance,1.0,4.0,1.0,4.0
79,right,1.0,4.0,1.0,5.0
80,left,1.0,4.0,2.0,1.0
81,balance,1.0,4.0,2.0,2.0
82,right,1.0,4.0,2.0,3.0
